category,series_name,period,value
,        Machinery,Unnamed: 6,91.26393333
,        Machinery,Unnamed: 7,90.239975
,        Machinery,Unnamed: 8,94.53953333
,        Machinery,Unnamed: 9,97.68658333
,        Primary Metals,Unnamed: 10,96.04384167
,        Primary Metals,Unnamed: 11,86.60260833
,        Primary Metals,Unnamed: 12,97.32339167
,        Primary Metals,Unnamed: 13,103.1870417
,        Primary Metals,Unnamed: 14,100.0
,        Primary Metals,Unnamed: 15,100.9928583
,        Primary Metals,Unnamed: 16,105.6704167
,        Primary Metals,Unnamed: 17,113.5071583
,        Primary Metals,Unnamed: 18,112.7398917
,        Primary Metals,Unnamed: 19,109.1468333
,        Primary Metals,Unnamed: 20,111.3744167
,        Primary Metals,Unnamed: 21,103.8096
,        Primary Metals,Unnamed: 22,84.61205
,        Primary Metals,Unnamed: 23,113.7182083
,        Primary Metals,Unnamed: 24,113.514125
,        Primary Metals,Unnamed: 25,111.2192083
,        Primary Metals,Unnamed: 26,108.1693583
,        Primary Metals,Unnamed: 27,111.1566167
,        Primary Metals,Unnamed: 28,102.3320167
,        Primary Metals,Unnamed: 29,104.2850333
,        Primary Metals,Unnamed: 30,104.1887917
,        Primary Metals,Unnamed: 31,114.5425333
,        Primary Metals,Unnamed: 32,118.6768833
,        Primary Metals,Unnamed: 33,118.8523167
,        Primary Metals,Unnamed: 34,116.8641167
,        Primary Metals,Unnamed: 35,112.107875
,        Primary Metals,Unnamed: 36,109.6068167
,        Primary Metals,Unnamed: 37,108.3988833
,        Primary Metals,Unnamed: 38,100.8424167
,        Primary Metals,Unnamed: 39,96.19311667
,        Primary Metals,Unnamed: 40,93.53511667
,        Primary Metals,Unnamed: 41,99.57651667
,        Primary Metals,Unnamed: 42,100.7570583
,        Primary Metals,Unnamed: 43,103.0987917
,        Primary Metals,Unnamed: 44,92.23805833
,        Primary Metals,Unnamed: 6,98.43914167
,        Primary Metals,Unnamed: 7,96.806625
,        Primary Metals,Unnamed: 8,99.774675
,        Primary Metals,Unnamed: 9,100.4386167
,        Transit Equipment,Unnamed: 10,59.98273333
,        Transit Equipment,Unnamed: 11,55.59854167
,        Transit Equipment,Unnamed: 12,79.036875
,        Transit Equipment,Unnamed: 13,100.5709083
,        Transit Equipment,Unnamed: 14,100.0
,        Transit Equipment,Unnamed: 15,93.6951
,        Transit Equipment,Unnamed: 16,102.118175
,        Transit Equipment,Unnamed: 17,97.53459167
,        Transit Equipment,Unnamed: 18,89.242575
,        Transit Equipment,Unnamed: 19,84.07116667
,        Transit Equipment,Unnamed: 20,69.153875
,        Transit Equipment,Unnamed: 21,66.86218333
,        Transit Equipment,Unnamed: 22,59.891125
,        Transit Equipment,Unnamed: 23,73.85100833
,        Transit Equipment,Unnamed: 24,81.43706667
,        Transit Equipment,Unnamed: 25,78.74586667
,        Transit Equipment,Unnamed: 26,67.30598333
,        Transit Equipment,Unnamed: 27,61.71944167
,        Transit Equipment,Unnamed: 28,59.28175833
,        Transit Equipment,Unnamed: 29,62.27065833
,        Transit Equipment,Unnamed: 30,68.41321667
,        Transit Equipment,Unnamed: 31,71.06195
,        Transit Equipment,Unnamed: 32,82.49853333
,        Transit Equipment,Unnamed: 33,83.49930833
,        Transit Equipment,Unnamed: 34,71.0102
,        Transit Equipment,Unnamed: 35,59.77689167
,        Transit Equipment,Unnamed: 36,56.37781667
,        Transit Equipment,Unnamed: 37,56.701725
,        Transit Equipment,Unnamed: 38,58.78544167
,        Transit Equipment,Unnamed: 39,63.090725
,        Transit Equipment,Unnamed: 40,64.84873333
,        Transit Equipment,Unnamed: 41,63.19700833
,        Transit Equipment,Unnamed: 42,59.23428333
,        Transit Equipment,Unnamed: 43,56.49875833
,        Transit Equipment,Unnamed: 44,50.69458333
,        Transit Equipment,Unnamed: 6,87.763975
,        Transit Equipment,Unnamed: 7,74.06783333
,        Transit Equipment,Unnamed: 8,75.13316667
,        Transit Equipment,Unnamed: 9,67.29096667
,        U.S Housing Starts ('000 Units),Unnamed: 10,1603.166667
,        U.S Housing Starts ('000 Units),Unnamed: 11,1394.333333
,        U.S Housing Starts ('000 Units),Unnamed: 12,1291.5
,        U.S Housing Starts ('000 Units),Unnamed: 13,1246.833333
,        U.S Housing Starts ('000 Units),Unnamed: 14,1204.666667
