lag_quarters,n,r_revenue,p_revenue,rho_revenue,r_ebitda,p_ebitda,indicator
2,40,0.6584156618648189,3.873456774273474e-06,0.7908067542213886,0.3343465867370161,0.03497498570431473,Durable Goods Orders
3,40,0.5067080262266213,0.0008485516883743724,0.6311444652908068,0.18069085385288158,0.26452230055654535,Durable Goods Orders
4,40,0.3450283434209465,0.02922772621548226,0.4643527204502815,0.007490709854882198,0.963410896388496,Durable Goods Orders
0,40,0.7081140959091637,3.20430831771859e-07,0.6647279549718574,0.7002839810601773,4.905163998201534e-07,Building Permits
1,40,0.788458166032093,1.5333928882014395e-09,0.7403377110694185,0.7229927162284127,1.3719798160148235e-07,Building Permits
2,40,0.8072328304706345,3.129371854049437e-10,0.777485928705441,0.6911616775427745,7.922019447487762e-07,Building Permits
3,40,0.7569814387071417,1.5851505944860964e-08,0.7138836772983115,0.614632136161107,2.4502255397456622e-05,Building Permits
4,40,0.7167995922864094,1.9656031114376648e-07,0.6748592870544091,0.5387620742397335,0.00033507219836905106,Building Permits
0,40,0.6679084649508232,2.494798524203841e-06,0.7095684803001877,0.43084549195739463,0.005514111499769656,Real GDP
1,40,0.6459106170725647,6.757779671939022e-06,0.6941838649155723,0.40114544157960647,0.010306673523386387,Real GDP
2,40,0.618144332712499,2.1349519668817772e-05,0.6649155722326455,0.3675955660345887,0.01962090824767283,Real GDP
3,40,0.5578363197168738,0.00018416048454705292,0.5919324577861165,0.31094989645459575,0.050822343858102914,Real GDP
4,40,0.4997906942338648,0.0010249130229759529,0.5536585365853659,0.24807801875768973,0.12271660447418643,Real GDP
0,40,0.5063530479421458,0.0008568974495521389,0.5056285178236398,0.5403733994431921,0.0003189897930012902,Steel Capacity Util
1,40,0.3923567824863308,0.012275906487847234,0.41632270168855545,0.3395264607329784,0.032081999199155324,Steel Capacity Util
2,40,0.2363814938787568,0.14196738422924554,0.22851782363977488,0.12876412617117092,0.42844425551474347,Steel Capacity Util
3,40,0.0021758756336256488,0.9893684466991799,0.016697936210131333,-0.13228647663024987,0.41581218888263927,Steel Capacity Util
4,40,-0.21667205140681997,0.17929881238386608,-0.08949343339587243,-0.4174536574158727,0.007360442632835034,Steel Capacity Util
0,40,0.936022015272231,7.9847086814586675e-19,0.9136960600375236,0.8073433521512469,3.0986624905224585e-10,Steel Import Price
